treenumber,treatment,aphid1,aphid2,aphid3,aphid_avg,aphid_sum
1,sdb,0,0,0,0,0
2,lw_netted,0,0,0,0,0
3,untreated,0,0,0,0,0
4,untreated,0,0,0,0,0
5,lw_netted,6,10,7,7.666666667,23
6,both,0,0,1,0.333333333,1
7,sdb,0,0,0,0,0
8,untreated,7,3,0,3.333333333,10
1491,clean,0,0,0,0,0
10,lw_netted,102,50,37,63,189
11,sdb_netted,0,0,0,0,0
12,lw ,0,0,0,0,0
13,both_netted,1,0,0,0.333333333,1
14,untreated,0,1,0,0.333333333,1
15,lw_netted,0,1,1,0.666666667,2
16,sdb,0,6,1,2.333333333,7
17,both_netted,23,60,23,35.33333333,106
18,untreated,0,0,1,0.333333333,1
19,untreated_netted,4,13,0,5.666666667,17
20,both,0,0,0,0,0
21,sdb,0,0,0,0,0
22,clean,0,8,1,3,9
23,untreated_netted,0,0,0,0,0
24,untreated,0,1,0,0.333333333,1
25,lw ,4,1,12,5.666666667,17
26,both_netted,0,0,0,0,0
27,untreated,0,0,0,0,0
28,untreated,0,1,1,0.666666667,2
29,untreated_netted,28,78,43,49.66666667,149
30,sdb,17,6,12,11.66666667,35
31,lw ,0,0,0,0,0
32,clean,0,0,0,0,0
33,both_netted,0,0,0,0,0
34,sdb,4,0,1,1.666666667,5
35,untreated,3,1,4,2.666666667,8
1186,clean,0,0,0,0,0
37,lw ,0,2,0,0.666666667,2
38,lw_netted,0,0,0,0,0
39,untreated_netted,0,0,0,0,0
40,untreated,0,0,0,0,0
41,both_netted,0,0,0,0,0
42,both,0,0,0,0,0
43,lw ,0,2,0,0.666666667,2
1193,clean,0,1,0,0.333333333,1
45,sdb,0,0,1,0.333333333,1
1180,clean,0,0,0,0,0
47,lw ,0,0,0,0,0
48,untreated_netted,0,0,0,0,0
49,untreated_netted,0,0,0,0,0
50,both,0,0,0,0,0
51,sdb_netted,0,0,0,0,0
52,lw ,0,0,0,0,0
53,both,1,0,0,0.333333333,1
54,both,0,0,0,0,0
55,both,0,2,0,0.666666667,2
56,sdb,0,0,0,0,0
57,sdb_netted,0,0,0,0,0
58,untreated,0,0,0,0,0
59,lw_netted,22,26,2,16.66666667,50
60,both_netted,3,5,3,3.666666667,11
61,untreated_netted,2,1,8,3.666666667,11
62,lw_netted,4,3,12,6.333333333,19
1177,clean,0,0,0,0,0
63,lw_netted,18,35,20,24.33333333,73
64,sdb_netted,5,18,17,13.33333333,40
65,both_netted,1,0,0,0.333333333,1
66,lw ,0,0,0,0,0
67,both_netted,1,0,0,0.333333333,1
68,clean,0,0,0,0,0
69,clean,0,0,0,0,0
70,lw ,0,0,0,0,0
71,both_netted,0,0,0,0,0
72,lw_netted,0,1,5,2,6
73,both,0,0,0,0,0
74,both_netted,0,0,0,0,0
75,lw ,0,1,6,2.333333333,7
76,clean,10,1,0,3.666666667,11
77,both,0,0,2,0.666666667,2
78,sdb_netted,0,0,0,0,0
79,lw_netted,3,1,1,1.666666667,5
80,both,8,2,5,5,15
81,untreated_netted,0,0,0,0,0
82,both_netted,0,0,1,0.333333333,1
83,untreated,0,0,0,0,0
84,both,1,0,0,0.333333333,1
85,lw_netted,0,2,4,2,6
86,lw ,0,0,0,0,0
87,sdb,0,0,0,0,0
88,untreated,0,0,0,0,0
89,sdb_netted,0,0,0,0,0
90,sdb_netted,0,0,0,0,0
91,lw_netted,0,0,0,0,0
92,untreated_netted,0,1,3,1.333333333,4
93,sdb_netted,0,0,0,0,0
94,sdb,0,0,0,0,0
95,sdb,0,0,0,0,0
1466,clean,0,0,0,0,0
97,untreated_netted,0,0,0,0,0
98,sdb_netted,0,0,0,0,0
99,lw ,0,0,0,0,0
100,sdb,0,0,0,0,0
101,sdb_netted,0,0,0,0,0
102,sdb_netted,0,0,0,0,0
103,sdb_netted,0,0,0,0,0
104,both,0,0,0,0,0
105,both,0,0,0,0,0
106,sdb_netted,0,0,0,0,0
107,sdb,0,0,0,0,0
108,both_netted,0,0,0,0,0
109,lw_netted,0,0,0,0,0
110,lw ,0,0,0,0,0
111,clean,0,0,1,0.333333333,1
112,clean,0,0,0,0,0
113,both_netted,0,0,0,0,0
114,untreated_netted,0,0,0,0,0
115,untreated_netted,0,0,0,0,0
116,untreated,0,0,0,0,0
117,clean,0,1,5,2,6
118,both_netted,0,0,0,0,0
119,lw ,0,0,0,0,0
120,sdb,0,0,0,0,0
121,both,0,0,0,0,0
122,sdb_netted,3,2,1,2,6
123,clean,0,0,6,2,6
124,untreated,0,0,0,0,0
125,lw_netted,0,0,0,0,0
